peer0.org2.example.com|2024-09-21 17:47:58.942 UTC 00cf INFO [comm.grpc.server] 1 -> streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2024-09-21T17:48:06.941Z grpc.peer_address=172.18.0.8:40118 grpc.peer_subject="CN=peer0,OU=peer,O=Hyperledger,ST=North Carolina,C=US" error="timed out waiting for connection message from 172.18.0.8:40118" grpc.code=Unknown grpc.call_duration=2.000215955s
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|Time taken for query for id (pc1): 154.788µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.272 UTC 00f1 INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=b9a41896
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.272 UTC 00f2 INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56708 grpc.code=OK grpc.call_duration=1.065888ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|Time taken for query for id (pc60000): 140.264µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.309 UTC 00f3 INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=c322e857
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.309 UTC 00f4 INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56724 grpc.code=OK grpc.call_duration=1.067436ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|Time taken for query for id (pc150000): 145.833µs
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.345 UTC 00f5 INFO [endorser] callChaincode -> finished chaincode: regionalCC1 duration: 0ms channel=mychannel txID=6907c015
                                                                                       peer0.org1.example.com|2024-09-21 17:48:03.346 UTC 00f6 INFO [comm.grpc.server] 1 -> unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.1:56742 grpc.code=OK grpc.call_duration=1.08746ms
dev-peer0.org1.example.com-regionalCC1_1.0.1-0c4cf4f99dbe3a725c4fbae4791d90346892b381cea8958e541e47e9b449b14a|Time taken for query for id (pc210000): 149.34µs
